Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Geographic State	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Segment	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
A36617.1			PARTIAL																							23						1997-03-05T00:00:00Z		GenBank				Tenorio,M.A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A36622.1			PARTIAL																							23						1997-03-05T00:00:00Z		GenBank				Tenorio,M.A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A36627.1			PARTIAL																							21						1997-03-05T00:00:00Z		GenBank				Tenorio,M.A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A36632.1			PARTIAL																							29						1997-03-05T00:00:00Z		GenBank				Tenorio,M.A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A36637.1			PARTIAL																							20						1997-03-05T00:00:00Z		GenBank				Tenorio,M.A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A39331.1			PARTIAL																							4011						1997-03-05T00:00:00Z		GenBank				Jacobs,P.,Massaer,M.,Haumont,M.,Bollen,A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A39333.1			PARTIAL																							19						1997-03-05T00:00:00Z		GenBank				Jacobs,P.,Massaer,M.,Haumont,M.,Bollen,A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A39334.1			PARTIAL																							17						1997-03-05T00:00:00Z		GenBank				Jacobs,P.,Massaer,M.,Haumont,M.,Bollen,A.	1997-03-05T00:00:00Z								Human alphaherpesvirus 3		10335
A94868.1			PARTIAL																				ELLEN			618						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94869.1			PARTIAL																				ELLEN			31						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94870.1			PARTIAL																							34						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94871.1			PARTIAL																							36						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94872.1			PARTIAL																				ELLEN			36						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94873.1			PARTIAL																				ELLEN			36						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
A94874.1			PARTIAL																				ELLEN			35						2000-01-26T00:00:00Z		GenBank				Glicklhorn,D.,Eickmann,M.D.	2000-01-26T00:00:00Z								Human alphaherpesvirus 3		10335
