accessionVersion	clade	outbreak	lineage	outbreakLineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_000SW1H.1	Ib	sh2023	A	sh2023/A	2024-08-16	Thailand		Ampoot, W.; Rattanatumhi, K.; Ruchisrisarod, C.; Supataragul, A.; Saraya, A. W.; Wacharapluesadee, S.; Avihingsanon, Y.; Putcharoen, O.	King Chulalongkorn Memorial Hospital, Thai Red Cross Emerging Infectious Diseases Clinical Center	Homo sapiens	195599	2024-08-27	PQ240043.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9999949292375094			PQ240043.1			CU-ID24110	0	1
PP_001016L.2	Ib	sh2023	A.5	sh2023/A.5	2024-07-25	Kenya	Taita Taveta	Langat, S. K.; Gathii, K.; Limbaso, K.; Roba, A.; Ndia, M.; Mutai, B.; Pilarowski, G.; Ochieng, M.; Juma, B.; Onyango, C.; Nyunja, A.; Okunga, E.; Ofula, V.; Oluniyi, P.; Koka, H.; Koskei, E.; Owaka, S.; Chelangat, B.; Mulwa, F.; Mutisya, J.; Chepkorir, E.; Lutomiah, J.; Herman-Roloff, A.; Lucchi, N.; Limo, H.; Langat, D.; Khamadi, S.; Kiiru, J.; Amoth, P.; Waitumbi, J.; Songok, E.	Kenya Medical Research Institute, Arbovirology/Viral Haemorrhagic Fever Lab	Homo sapiens	195321	2024-08-19	PQ178862.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9999391508501133			PQ178862.2	SRR30229922		KEMRI0010724-nvrl220	0	0
PP_001094G.1	Ib	sh2023	A	sh2023/A	2024-08-21	Thailand	Bangkok	Nitiyanontakij, R.; Reawrang, S.; Kaewsawang, P.; Suwanwattana, P.; Prasithsirikul, W.; Pongpirul, W.; Sunchatawirul, K.	Bamrasnaradura infectious diseases institute, Department of Disease Control	Homo sapiens	197116	2024-09-04	PQ281490.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.995902823907631			PQ281490.1			Monkeypox virus/human/Thailand/DDCBIDI-001/2024	20	788
PP_001095E.1	Ib	sh2023	A	sh2023/A	2024-08-21	Thailand	Bangkok	Nitiyanontakij, R.; Reawrang, S.; Kaewsawang, P.; Suwanwattana, P.; Prasithsirikul, W.; Pongpirul, W.; Sunchatawirul, K.	Bamrasnaradura infectious diseases institute, Department of Disease Control	Homo sapiens	197278	2024-09-04	PQ281491.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9974392649422694			PQ281491.1			Monkeypox virus/Human/Thailand/DDCBIDI-002/2024	41	464
PP_0010E2F.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-05	Democratic Republic of the Congo	Kinshasa, Limete	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Homo sapiens	190667	2024-09-20	PQ352021.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9148517562585886			PQ352021.1			24MPX 1956V	4	10632
PP_0010E3D.1	Ib	sh2023	A	sh2023/A	2024-07-01	Democratic Republic of the Congo	Kinshasa, Ngiri-Ngiri	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Homo sapiens	189838	2024-09-20	PQ352022.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.927675714597204			PQ352022.1			24MPX 1521V	13	7340
PP_0010E59.1	Ib	sh2023	A	sh2023/A	2024-07-01	Democratic Republic of the Congo	Kinshasa, Ngiri-Ngiri	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Homo sapiens	189802	2024-09-20	PQ352023.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9012519712589182			PQ352023.1			24MPX 1521GG	14	12513
PP_0010EDT.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-12	Democratic Republic of the Congo	Kinshasa, Limete	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Homo sapiens	188464	2024-09-20	PQ352030.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.8840874402283871			PQ352030.1			24MPX 2027V	10	14584
PP_0010EFP.1	Ib	sh2023	A.1	sh2023/A.1	2024-08-09	Democratic Republic of the Congo	Kinshasa, Limete	Wawina-Bokalanga, T.; Akil-Bandali, P.; Kinganda-Lusamaki, E.; Lokilo, E.; Jansen, D.; Amuri-Aziza, A.; Makangara-Cigolo, J. C.; Pukuta-Simbu, E.; Ola-Mpumbe, R.; Muyembe, M.; Kacita, C.; Paku-Tshambu, P.; Dantas, P. H.; Tshiani-Mbaya, O.; Luakanda, G.; Nkuba-Ndaye, A.; Matondo, M.; Vakaniaki, E. H.; Tessema, S.; Ndembi, N.; O'Toole, A.; De Block, T.; Ngandu, C.; Hoff, N. A.; Low, N.; Subissi, L.; Merritt, S.; Muyembe-Tamfum, J. J.; Liesenborghs, L.; Peeters, M.; Delaporte, E.; Kindrachuk, J.; Rimoin, A. W.; Ahuka-Mundeke, S.; Rambaut, A.; Mwamba, D.; Vercauteren, K.; Mbala-Kingebeni, P.; Makangara-Cigolo, J.-C.; Dantas, P. H. L. F.; Hasivirwe-Vakaniaki, E.; Muyembe-Tamfum, J.-J.	Institut National de Recherche Biomedicale (INRB), Epidemiology and Global Health	Homo sapiens	188328	2024-09-20	PQ352031.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.8920383958135785			PQ352031.1			24MPX 2019V	15	12868
PP_0010H64.1	Ib	sh2023	A	sh2023/A	2024-10	Rwanda		Brinkmann, A.; Kohl, C.; Schrick, L.; Michel, J.; Schaade, L.; Nitsche, A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Homo sapiens	195370	2024-10-24	PQ499044.2	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PQ499044.2			MPXV/Ib/Germany/2024/RKI1142	0	0
